latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
27.253,140.889,330.5,1,1,2020-04-23,0120,T,57,6.0NRT,289.8,22.9,D
27.244,140.888,328.2,1,1,2020-04-23,0120,T,45,6.0NRT,289.2,19.9,D
-2.571,140.517,309.4,2.2,1.4,2020-04-23,0130,T,44,6.0NRT,288.7,15.3,D
-6.101,105.426,324.5,1.3,1.1,2020-04-23,0310,T,78,6.0NRT,291.2,27.8,D
-7.226,110.428,311.4,1.1,1,2020-04-23,0310,T,48,6.0NRT,290.6,6.1,D
-7.564,112.603,313.7,1.5,1.2,2020-04-23,0310,T,47,6.0NRT,296,13.4,D
-8.115,112.939,313.7,1.6,1.2,2020-04-23,0310,T,63,6.0NRT,293.1,19.9,D
15.548,108.196,316.4,1.7,1.3,2020-04-23,0305,T,64,6.0NRT,291.5,17.9,D
15.546,108.212,316.4,1.7,1.3,2020-04-23,0305,T,52,6.0NRT,292.9,17.9,D
14.054,107.335,319.8,1.9,1.4,2020-04-23,0305,T,44,6.0NRT,298.2,21.8,D
12.563,108.705,323,1.5,1.2,2020-04-23,0305,T,67,6.0NRT,298.5,21.9,D
11.499,108.016,315.6,1.6,1.2,2020-04-23,0305,T,59,6.0NRT,284.7,13.4,D
11.498,108.03,332,1.6,1.2,2020-04-23,0305,T,84,6.0NRT,287.4,47.9,D
10.624,107.623,311.2,1.6,1.3,2020-04-23,0305,T,31,6.0NRT,272.9,9.9,D
10.612,107.622,313.5,1.6,1.3,2020-04-23,0305,T,41,6.0NRT,271.7,13,D
10.611,107.63,318.1,1.6,1.3,2020-04-23,0305,T,0,6.0NRT,271.6,20.1,D
5.613,118.305,313.6,2.5,1.5,2020-04-23,0305,T,48,6.0NRT,293.1,34.6,D
4.869,115.291,312.5,1.5,1.2,2020-04-23,0305,T,57,6.0NRT,291.2,10.2,D
4.14,117.665,313.1,2.3,1.5,2020-04-23,0305,T,0,6.0NRT,293.1,20.5,D
3.563,117.065,314.9,2.2,1.4,2020-04-23,0305,T,67,6.0NRT,290.1,28.2,D
3.693,108.256,315.1,1.2,1.1,2020-04-23,0305,T,38,6.0NRT,288.8,7.5,D
3.685,108.244,315.9,1.2,1.1,2020-04-23,0305,T,18,6.0NRT,288.9,7.7,D
2.901,112.186,316,1.1,1,2020-04-23,0305,T,57,6.0NRT,294.5,7.8,D
2.887,112.281,315.5,1.1,1,2020-04-23,0305,T,22,6.0NRT,295,7.7,D
0.546,116.144,312.2,2.1,1.4,2020-04-23,0305,T,56,6.0NRT,292.5,15.4,D
0.267,116.612,311.4,2.3,1.5,2020-04-23,0305,T,34,6.0NRT,290.1,18.4,D
0.135,116.168,313.8,2.1,1.4,2020-04-23,0305,T,55,6.0NRT,292.4,23,D
-0.297,114.723,309.2,1.6,1.3,2020-04-23,0305,T,60,6.0NRT,290.2,10.1,D
30.159,120.407,313.1,1.3,1.1,2020-04-23,0300,T,18,6.0NRT,292.5,9.5,D
30.107,120.529,312.8,1.3,1.1,2020-04-23,0300,T,47,6.0NRT,292.4,9.6,D
16.388,121.545,311.5,2.8,1.6,2020-04-23,0300,T,40,6.0NRT,292.4,26.1,D
-4.552,136.886,320.9,1,1,2020-04-23,0425,A,51,6.0NRT,298.7,9.9,D
7.609,124.963,320.3,4.6,2,2020-04-23,0430,A,61,6.0NRT,292.1,71.7,D
7.609,124.959,320.4,4.6,2,2020-04-23,0430,A,38,6.0NRT,291.9,66.3,D
23.864,96.411,323,1.8,1.3,2020-04-23,0440,T,76,6.0NRT,302.8,16.5,D
20.987,100.763,314,4.3,1.9,2020-04-23,0440,T,33,6.0NRT,294.4,54.1,D
20.709,100.502,314.1,4.2,1.9,2020-04-23,0440,T,56,6.0NRT,293.6,53.5,D
21.465,93.237,331.4,1.2,1.1,2020-04-23,0440,T,82,6.0NRT,293.6,33.4,D
21.102,93.016,324.1,1.2,1.1,2020-04-23,0440,T,69,6.0NRT,300.8,16.1,D
20.849,93.298,323.9,1.3,1.1,2020-04-23,0440,T,65,6.0NRT,302.4,16.3,D
20.685,93.481,359.3,1.3,1.1,2020-04-23,0440,T,99,6.0NRT,303,114.7,D
20.683,93.494,366.6,1.3,1.1,2020-04-23,0440,T,100,6.0NRT,303,146.7,D
20.665,93.477,324.3,1.3,1.1,2020-04-23,0440,T,66,6.0NRT,299.7,21.9,D
20.663,93.491,332.3,1.3,1.1,2020-04-23,0440,T,79,6.0NRT,300.2,36.5,D
19.802,96.558,321.6,2.2,1.5,2020-04-23,0440,T,56,6.0NRT,300.5,37.8,D
20.01,94.799,331.3,1.7,1.3,2020-04-23,0440,T,70,6.0NRT,312.9,17.8,D
20.011,94.792,331.6,1.7,1.3,2020-04-23,0440,T,78,6.0NRT,313.1,20.3,D
20.145,93.882,348,1.4,1.2,2020-04-23,0440,T,93,6.0NRT,302.3,85,D
20.143,93.896,361,1.4,1.2,2020-04-23,0440,T,100,6.0NRT,302.6,137.4,D
20.135,93.88,321.2,1.4,1.2,2020-04-23,0440,T,47,6.0NRT,301.7,19.7,D
20.132,93.894,334.1,1.4,1.2,2020-04-23,0440,T,80,6.0NRT,302.7,45.6,D
20.085,93.857,344.3,1.4,1.2,2020-04-23,0440,T,90,6.0NRT,302.6,71.5,D
20.082,93.87,338.5,1.4,1.2,2020-04-23,0440,T,85,6.0NRT,303.3,54.7,D
20.077,93.864,349.1,1.4,1.2,2020-04-23,0440,T,93,6.0NRT,303.9,88.7,D
19.828,94.114,322,1.5,1.2,2020-04-23,0440,T,52,6.0NRT,303.5,18.7,D
19.591,94.484,335.9,1.6,1.2,2020-04-23,0440,T,83,6.0NRT,298.6,61.6,D
19.63,93.81,321.1,1.4,1.2,2020-04-23,0440,T,35,6.0NRT,301.7,15.4,D
19.623,93.816,322.6,1.4,1.2,2020-04-23,0440,T,28,6.0NRT,302.3,18.4,D
19.384,94.073,323.9,1.5,1.2,2020-04-23,0440,T,0,6.0NRT,307.7,12.4,D
19.271,94.662,328,1.7,1.3,2020-04-23,0440,T,58,6.0NRT,309,24.4,D
18.355,96.872,318.7,2.5,1.5,2020-04-23,0440,T,41,6.0NRT,298.3,33.6,D
18.362,96.868,326.3,2.5,1.5,2020-04-23,0440,T,71,6.0NRT,298.9,61.5,D
18.275,96.881,324.5,2.5,1.5,2020-04-23,0440,T,69,6.0NRT,300.3,56.3,D
18.217,96.964,318.3,2.6,1.5,2020-04-23,0440,T,44,6.0NRT,299.5,33.1,D
18.538,94.425,341.9,1.7,1.3,2020-04-23,0440,T,88,6.0NRT,303.9,74.8,D
18.452,94.388,321.8,1.7,1.3,2020-04-23,0440,T,42,6.0NRT,306.2,15.2,D
17.106,94.749,326.9,1.9,1.3,2020-04-23,0440,T,58,6.0NRT,307.6,23,D
16.376,94.423,326,1.8,1.3,2020-04-23,0440,T,54,6.0NRT,307.4,24.6,D
16.381,94.418,324.4,1.8,1.3,2020-04-23,0440,T,63,6.0NRT,307.3,21.7,D
15.149,98.532,319.7,3.9,1.8,2020-04-23,0440,T,62,6.0NRT,297.4,81.9,D
15.145,98.034,320.7,3.6,1.8,2020-04-23,0440,T,73,6.0NRT,296.3,66.5,D
15.137,98.023,317.8,3.6,1.8,2020-04-23,0440,T,69,6.0NRT,295.7,53.3,D
-8.114,112.928,321.5,1,1,2020-04-23,0600,A,41,6.0NRT,299.4,15.5,D
-8.115,112.919,328,1,1,2020-04-23,0600,A,64,6.0NRT,303.2,22.6,D
-2.959,104.2,317.9,3.4,1.7,2020-04-23,0605,A,69,6.0NRT,284.9,71.7,D
-0.731,115.645,321.7,1.3,1.1,2020-04-23,0605,A,23,6.0NRT,292.6,13.9,D
9.299,105.916,316.6,1.6,1.2,2020-04-23,0605,A,25,6.0NRT,295.4,13.2,D
9.672,105.364,318.3,1.7,1.3,2020-04-23,0605,A,29,6.0NRT,291.8,14.7,D
9.812,105.952,316.2,1.5,1.2,2020-04-23,0605,A,63,6.0NRT,294.4,10.3,D
10.558,106.31,320.5,1.4,1.2,2020-04-23,0605,A,68,6.0NRT,297.9,12.1,D
10.414,104.602,320.2,1.9,1.3,2020-04-23,0605,A,69,6.0NRT,293,25.2,D
10.66,103.686,318.4,2.2,1.4,2020-04-23,0605,A,69,6.0NRT,283.8,36.4,D
10.66,103.679,318.6,2.2,1.4,2020-04-23,0605,A,71,6.0NRT,284.1,38.1,D
11.137,106.543,325.6,1.3,1.1,2020-04-23,0605,A,34,6.0NRT,301,17.7,D
11.146,106.331,326,1.4,1.2,2020-04-23,0605,A,56,6.0NRT,299.7,22.3,D
11.737,108.918,319.7,1,1,2020-04-23,0605,A,51,6.0NRT,289.1,5.7,D
11.623,107.424,316.9,1.2,1.1,2020-04-23,0605,A,32,6.0NRT,292.8,7.6,D
12.15,108.279,318.8,1.1,1,2020-04-23,0605,A,68,6.0NRT,292.5,10.3,D
12.249,108.765,333.3,1,1,2020-04-23,0605,A,74,6.0NRT,283.7,30.2,D
12.186,108.273,318.3,1.1,1,2020-04-23,0605,A,60,6.0NRT,292.2,7.4,D
12.023,106.645,328.9,1.3,1.1,2020-04-23,0605,A,39,6.0NRT,302.5,20,D
12.356,108.489,317.3,1,1,2020-04-23,0605,A,66,6.0NRT,292.5,10.4,D
12.354,108.479,330.5,1,1,2020-04-23,0605,A,83,6.0NRT,292.4,25.6,D
12.393,108.55,321.8,1,1,2020-04-23,0605,A,57,6.0NRT,295.6,10.6,D
12.454,108.535,329,1,1,2020-04-23,0605,A,55,6.0NRT,298,18.4,D
12.537,108.534,326.9,1,1,2020-04-23,0605,A,77,6.0NRT,299.6,11.8,D
12.569,108.558,368.7,1,1,2020-04-23,0605,A,100,6.0NRT,298.9,104.4,D
12.567,108.548,348.3,1,1,2020-04-23,0605,A,94,6.0NRT,297.9,48.2,D
12.341,105.858,323.4,1.4,1.2,2020-04-23,0605,A,70,6.0NRT,299.2,18.9,D
12.339,105.845,320.2,1.4,1.2,2020-04-23,0605,A,59,6.0NRT,298.6,13.7,D
13.162,108.772,326.1,1,1,2020-04-23,0610,A,67,6.0NRT,299.5,9.4,D
12.664,105.362,324,1.5,1.2,2020-04-23,0610,A,69,6.0NRT,296,21.5,D
12.757,105.574,324.7,1.4,1.2,2020-04-23,0610,A,30,6.0NRT,299.3,20.7,D
12.754,105.561,355.7,1.4,1.2,2020-04-23,0610,A,98,6.0NRT,300.1,108.7,D
12.792,105.727,398.6,1.4,1.2,2020-04-23,0610,A,100,6.0NRT,300.4,383.5,D
12.79,105.715,353,1.4,1.2,2020-04-23,0610,A,96,6.0NRT,298.8,94.9,D
12.769,105.518,326.3,1.5,1.2,2020-04-23,0610,A,69,6.0NRT,301.6,22,D
13.298,108.952,335.3,1,1,2020-04-23,0610,A,79,6.0NRT,288.3,31.7,D
13.297,108.943,351.7,1,1,2020-04-23,0610,A,72,6.0NRT,287.6,61.7,D
13.264,108.525,337.7,1,1,2020-04-23,0610,A,86,6.0NRT,294.5,26.2,D
12.806,105.572,321.2,1.4,1.2,2020-04-23,0610,A,67,6.0NRT,299,17.3,D
12.808,105.518,322,1.4,1.2,2020-04-23,0610,A,47,6.0NRT,298.8,13.4,D
12.846,105.62,323.5,1.4,1.2,2020-04-23,0610,A,62,6.0NRT,298.4,17.8,D
12.844,105.607,324.3,1.4,1.2,2020-04-23,0610,A,69,6.0NRT,298.7,18.5,D
12.842,105.526,331.5,1.4,1.2,2020-04-23,0610,A,81,6.0NRT,297.8,34.4,D
12.885,105.666,339.4,1.4,1.2,2020-04-23,0610,A,88,6.0NRT,298.7,57,D
12.94,105.571,327.2,1.4,1.2,2020-04-23,0610,A,77,6.0NRT,300.9,24,D
13.088,105.916,325.2,1.4,1.2,2020-04-23,0610,A,40,6.0NRT,301.7,17.5,D
13.048,105.296,326.3,1.5,1.2,2020-04-23,0610,A,71,6.0NRT,297.5,23.3,D
13.058,105.294,347.8,1.5,1.2,2020-04-23,0610,A,94,6.0NRT,298.8,84.2,D
13.211,105.297,334.2,1.5,1.2,2020-04-23,0610,A,85,6.0NRT,298.6,43,D
13.629,107.763,327.4,1.1,1,2020-04-23,0610,A,72,6.0NRT,306.3,9.9,D
13.369,105.813,354.8,1.4,1.2,2020-04-23,0610,A,97,6.0NRT,302.9,95.8,D
13.367,105.801,334.6,1.4,1.2,2020-04-23,0610,A,85,6.0NRT,301.5,38,D
13.391,105.822,326.6,1.4,1.2,2020-04-23,0610,A,48,6.0NRT,302.6,19.3,D
13.813,107.509,331,1.1,1,2020-04-23,0610,A,78,6.0NRT,298.2,18.7,D
13.75,106.546,324.8,1.2,1.1,2020-04-23,0610,A,69,6.0NRT,303.3,14.5,D
13.813,106.892,332.5,1.2,1.1,2020-04-23,0610,A,71,6.0NRT,309.5,16.5,D
13.847,106.903,333.1,1.2,1.1,2020-04-23,0610,A,72,6.0NRT,307.7,19.1,D
13.87,106.986,338.5,1.1,1.1,2020-04-23,0610,A,87,6.0NRT,304.5,32.2,D
13.868,106.975,327.1,1.1,1.1,2020-04-23,0610,A,68,6.0NRT,303.8,12,D
13.695,105.873,319,1.3,1.1,2020-04-23,0610,A,46,6.0NRT,283,13.8,D
13.967,107.432,386.6,1.1,1,2020-04-23,0610,A,100,6.0NRT,300.4,192.7,D
14.189,108.548,334.7,1,1,2020-04-23,0610,A,85,6.0NRT,300,23.1,D
14.135,108.184,318.1,1,1,2020-04-23,0610,A,42,6.0NRT,297.7,6,D
13.964,106.996,335.9,1.1,1.1,2020-04-23,0610,A,85,6.0NRT,306.9,29.6,D
13.963,106.985,324.3,1.1,1.1,2020-04-23,0610,A,61,6.0NRT,304.2,11.3,D
13.912,106.598,349.9,1.2,1.1,2020-04-23,0610,A,95,6.0NRT,303.8,68.6,D
14.183,108.321,323.5,1,1,2020-04-23,0610,A,50,6.0NRT,293.9,15,D
14.111,107.23,355.9,1.1,1.1,2020-04-23,0610,A,98,6.0NRT,306.4,71.8,D
14.121,106.562,325.1,1.2,1.1,2020-04-23,0610,A,69,6.0NRT,290.8,20,D
14.413,108.445,311.1,1,1,2020-04-23,0610,A,30,6.0NRT,286.5,5.4,D
14.615,108.948,310.3,1,1,2020-04-23,0610,A,38,6.0NRT,289.9,5,D
